x,y,obs,radar
92.1067932495,96.0362045482,1.65267173074,2.81203053408
83.2091760931,111.501260266,5.37210131887,6.55597958992
75.1398529182,131.018575205,6.52837425154,24.7703464471
86.9320175644,56.8370617507,2.7483665123,4.00210120208
79.9592803253,87.3263625382,24.4035250071,8.94086582353
69.2332955855,99.9770025648,14.2842027164,12.4704001568
88.1618078949,80.0771643636,3.08087175846,5.76603513647
74.7028278942,98.2616224246,4.4735847856,21.4610069101
62.5429194661,107.67507868,5.010331072,18.1473129809
87.5947725902,90.6280443926,3.76130634721,5.33544235327
76.936339077,97.8512694827,5.79224060526,11.1650836338
78.7546630314,54.4496254146,2.02822318437,2.49129877686
86.6831262057,130.860158892,27.0231940238,4.68198094124
73.9400118149,93.7860759381,11.0725877471,10.4467176755
97.9947424773,35.3943292574,1.86557620903,6.24176433766
70.7310684047,116.152134934,25.2717758487,28.9547209192
76.0677887631,94.5641337807,13.0526646165,11.8020243983
6.52710361887,198.538049675,2.48783827857,9.29678179961
85.6036809251,98.4227645042,10.323228386,4.95183958866
19.1028803324,165.284241055,0.264734850631,2.2441310616
83.9494473002,104.013790553,8.0396377287,11.6129584878
89.876693802,44.2058614452,0.871673620524,3.77055185601
62.0310503926,118.184549596,37.704922668,38.4262263205
67.424410594,102.335446548,16.8856566419,34.9940856067
96.5273778132,76.7461872702,5.32597261904,5.98037628049
92.5470489096,94.2974999324,2.81867854857,2.02449364789
88.8048008246,93.283596722,5.54925213866,5.33544235327
70.1542549706,94.5208472172,7.63177829184,10.4467176755
27.2338039401,163.920323513,0.295015033085,1.25609263741
3.55259215677,182.527906727,1.8782559443,21.1168928897
14.1278192706,164.600197098,1.36966008266,1.61701868406
64.2574540232,107.235682527,25.5194281593,18.1473129809
87.2605546765,109.716996577,0.303387642955,1.66904781144
8.07734344551,196.829530915,4.95346868685,9.29678179961
85.5153380833,106.772412364,0.858108092316,1.66904781144
87.3512419273,68.9749080083,3.6567759494,7.89187311501
62.4090011855,131.261202532,5.57553509176,4.53486573486
6.20094956248,165.414151118,0.517365394244,1.99588265955
20.2259398459,175.863298136,0.438789130681,1.59926451968
73.4933761589,121.481804727,20.1234859995,10.004039172
81.4405244715,74.3711292264,8.38929213597,4.84028665056
81.7650669133,73.6834804632,2.13810518998,4.84028665056
91.786021074,133.620277241,0.864055484113,1.53125242176
62.0091431496,124.550007351,10.4157762251,13.0177254593
83.3528849324,94.6949393219,11.0117764526,11.7710235282
81.9560177492,130.851757709,44.428054697,21.1807258319
6.65438344525,187.533498231,10.6134310226,11.9281654278
98.3704184319,79.3598039296,4.98267542379,5.98037628049
54.0116694526,135.799772886,0.414632340465,1.26023124098
98.9820691654,42.6776668111,1.50303964978,4.39110235952
